object,creator,description
"
                3D Printed Exoskeleton Hands
                			",Alexander Czech,New Exoskeleton Arms >>> https://sellfy.com/p/Zr0t/Updated - (9th July 2015) - New predrilled holes for models3D printed exoskeleton hands that I made for a bit of fun. If you want to watch a video of it in use https://www.youtube.com/watch?v=t7T-S3UFR-0. For the latest 3D printed exoskeleton updates visit https://sellfy.com/3DPrintIt. My website is http://3dprintit.com.au/.DESCRIPTIONPLEASE READ THE MANUAL BEFORE PRINTINGThe manual is in the .zip file. I designed the hand using ABS plastic the more infill the stronger the hand but the longer the print time. The entire hand will take approximately 18 hours in total and cost about $8.00 in plastic (at 4 cents a gram). All parts were printed on my Up Plus 2 with 14cm x 15cm x 15cm build volume. There are also a lot of metal screws that you need to hold all of the printed parts together. I used sheet metal self tapper pan screws 8G x 9mm.***Disclaimer – 3D Print It will not be liable for personal injury resulting from negligent use of this product. Please use the 3D Printed Exoskeleton with care and do not cause harm to others. The purchasing of this product does not award the customer the rights to use this 3D model for monetary gain or re-sale. The designer retains all copyrights and intellectual property rights even after these files are sold. Do not distribute the 3D Printed Exoskeleton STL files. The files that you have bought are for your personal use only.Copyright (c) Alex Czech 2015www.3dprintit.com.au
"
                3D Printed Bionic Skeleton Hand
                			",Hendo,3D Printable Skeleton/Bionic Hand. Intended for development in prosthetics. Basic and simple to implement mechanisms and a baseline for a robotic hand.See more of this project on:https://www.instructables.com/id/3D-Printed-Bionic-Hand-Skeleton/
"
                Holder Iphone 4, 4s and 5 for hand support
                			",Luca Parmegiani,"This is a support for a person with disabilities to hold a phone. It is composed of two pieces and can be used for Iphone 4, 4s and 5. It can be turned in order to use the phone in vertical and horizontal position. It is applicable to the hand support. The advantage is the possibility to hold a phone without the use of the fingers in case of articulation problems."
"
                Toothpaste Tube Squeezer
                			",Justin Otten,Printed in 3 parts. Cap can be securely pressed or glued onto shaft. I advise printing as a solid object. Should be wide enough to accommodate all toothpaste tubes while comfortably fitting in the hand.The latest 2016 version (Rev C) has a lock feature to prevent the tube from unrolling. Simply press the shaft inward to engage the lock and pull out to disengage. 
"
                The Little Prince
                			",Evavooo,"Figurine model of The Little Prince, inspired by the original watercolour illustation from the French book Le Petit Prince (1943). 'This strange and lovely parable, written as much for adults as for children, and beautifully illustrated by the author, has become a classic of our time. The narrator, an air pilot, tells how, having made a forced landing in the Sahara desert, he meets the Little Prince. The wise and enchanting storeies the prince tells about the planet where he lives with three volcanoes and a haughty flower, about other planets and their rulers, and about his fight with the bad seeds, make him an entrancing, unforgettable charecter.' - Backpage blub from The Little Prince, by Antoine De Saint-Exupery. Check out more in the series. The initial concept behind transforming the illustations from 2D to 3D is to create resources to improve the experience of literature for the blind and partially sighted through rendering illustrations and graphics from well-known fiction into tactile objects and reliefs. Stay tuned :)_________________________________________________________________________If you purchase this object through the MyMiniFactory Store please note:This product will come unassembled and unpainted when you buy it. We encourage you to be creative, personalize it as you wish. Express your awesomeness and share a picture of the final result with us!Unless you have a particular request, the colour of your print will be chosen at random and will be printed in either ABS or PLA filament.Delivery time will be between 1 and 4 weeks from the moment you order the object. This is dependent on your location and the length of time the object takes to print.Email info@myminifactory.com if you would like any further information or if you have any special requests.Sometimes orders will be printed live on MyMiniFactory TV - check it out here._________________________________________________________________________"
"
                The Thork
                			",Trevor Day - Enterprise XD Design,"I'm just going to take a quick break from the endless barrage of coasters (well I like them...) to upload my latest invention; The Thork.  Basically I got sick of getting cheesy gunge all over my fingers whenever I ate Wotsits and, like so many instances these days, I turned to 3D printing as a solution.  It's a thimble with an added fork blade and is the perfect solution for fast-food outings, Netflix boxset grazing and just generally any time you want to eat finger food but want to keep your fingers clean.The Thork is easy enough to print and assemble but I strongly have to suggest printing it (if possible) in a antibacterial filament or just making sure it's washed thoroughly every time you use it.  I won't take responsibility if you don't...The Thork is also available, printed and assembled and also with an optional sachet of Sugru mouldable infill (for those who don't have my fat fingers) from my Etsy store - www.etsy.com/uk/shop/enterprisexddesign"
"
                THE Tweezers
                			",Frederico David Sena,"Especially designed for 3D printing with plastic, this tweezer has the right size, grip and force for general use.  Good for picking up small objects delicately, there is no support required. This design was tested with ABS, PLA and PPS. Everyone needs a pair of tweezers. Print one for yourself and another for a friend!"
"
                Plastic Bottle opener
                			",Luca Parmegiani,This is a bottle opener with the classic tap shape. It works with different bottle cap sizes. The handle is really comfortable making easier to open and close. 
"
                Paper cups holder for hand support
                			",Luca Parmegiani,"This is a support for person with disabilities to use hands to hold paper cups. This support is applicable to the hand support. It is really easy to use, just insert the cup in the holder, it can be used for different sized cups. Not suitable for hot drinks because of the low melting point of PLA."
"
                Flexy-Hand
                			",Gyrobot,"A proof of concept printable hand with ""live hinge"" flexible joints. Individually activated fingers using Filaflex filament (or nylon fishing wire) as tendons.  Printed in PLA and with Filaflex hinges.  Re-mix this idea (STEP-file of body included) into your own robotic or prosthetic project. Here is an article about the Flexy-Hand on 3DPrint.com.  And a video + video review (Thanks to 3DUniverse.org and jesimon).    The 1st printed Flexy-Hand is now on display in the iMakr Store, London "
"
                One hand book holder
                			",Mathis,"This object will simplify your life, allowing you to read your books with one hand and without any thumb cramp !"
"
                Humanoid Robotic Hand
                			",Ryan Gross,"The hand files are part of a larger project which has taken around two years. The project is an entirely 3D printed humanoid robot similar to the inmoov project but with many major differences in design. It features an improved gripping design and an opposable thumb. This is created to be incredibly inexpensive, simple to make, and reliable, I have put the arm through some rigorous stress testing, and it's able to run for hours on end without a hitch. I will publish the rest of the arm designs in the near future. My current goal is to gain funding through sponsorship or donations to continue my research.Assembly of the arm is very simple and forthright but I will post a video on how to assemble the arm very soon (the order in which you assemble is crucial).Materials needed for the arm:-Flexible Nylon Paracord: http://www.paracordplanet.com/black-1-8-shock-cord/?gclid=CjwKEAjwoPG8BRCSi5uu6d6N5WcSJABHzD8F0L0fHDhT_dqwNNAAP0UubP1OmgCBMNTkp_OyXJ0xuBoC05Tw_wcB-Standard sized servos x5 (these are the servos I used but any standard sized servo will work well):https://www.banggood.com/Towerpro-MG958-55g-20KG-High-Torque-Digital-Metal-Gear-Servo-p-978254.html?rmmds=search-Micro servo: https://www.amazon.com/TowerPro-MG90S-Geared-Helicopter-Trex450/dp/B01F7MRR38/ref=sr_1_7?ie=UTF8&qid=1493004060&sr=8-7&keywords=micro+servo+metal+gear-Fishing line between .5mm and .8mm you can get this anywhereTools needed for assembly:-Super Glue-Plyers-Screwdriver-Exacto Knife or Scissors"
